sample_id,ena_analysis
AN0100-C,ERZ1695973
AN0101-Cx,ERZ1695974
AN0102-C,ERZ1695975
AN0103-C,ERZ1695976
AN0104-C,ERZ1695977
AN0105-C,ERZ1695978
AN0106-C,ERZ1695979
AN0107-C,ERZ1695980
AN0108-C,ERZ1695981
AN0109-C,ERZ1695982
AN0111-C,ERZ1695983
AN0112-Cx,ERZ1695984
AN0113-C,ERZ1695985
AN0114-C,ERZ1695986
AN0115-C,ERZ1695987
AN0117-C,ERZ1695988
AN0118-Cx,ERZ1695989
AN0119-C,ERZ1695990
AN0120-C,ERZ1695991
AN0121-Cx,ERZ1695992
AN0122-C,ERZ1695993
AN0123-Cx,ERZ1695994
AN0124-C,ERZ1695995
AN0125-Cx,ERZ1695996
AN0126-C,ERZ1695997
AN0127-Cx,ERZ1695998
AN0128-C,ERZ1695999
AN0129-C,ERZ1696000
AN0130-C,ERZ1696001
AN0131-C,ERZ1696002
AN0132-Cx,ERZ1696003
AN0133-Cx,ERZ1696004
AN0134-Cx,ERZ1696005
AN0135-Cx,ERZ1696006
AN0136-Cx,ERZ1696007
AN0137-C,ERZ1696008
AN0138-C,ERZ1696009
AN0139-C,ERZ1696010
AN0140-C,ERZ1696011
AN0141-C,ERZ1696012
AN0142-C,ERZ1696013
AN0143-C,ERZ1696014
AN0144-C,ERZ1696015
AN0146-C,ERZ1696016
AN0147-C,ERZ1696017
AN0148-C,ERZ1696018
AN0149-C,ERZ1696019
AN0151-C,ERZ1696020
AN0152-C,ERZ1696021
AN0153-C,ERZ1696022
AN0154-C,ERZ1696023
AN0155-C,ERZ1696024
AN0156-C,ERZ1696025
AN0157-Cx,ERZ1696026
AN0158-C,ERZ1696027
AN0159-Cx,ERZ1696028
AN0160-Cx,ERZ1696029
AN0162-Cx,ERZ1696030
AN0163-C,ERZ1696031
AN0164-C,ERZ1696032
AN0165-C,ERZ1696033
AN0166-C,ERZ1696034
AN0167-C,ERZ1696035
AN0168-C,ERZ1696036
AN0169-C,ERZ1696037
AN0170-C,ERZ1696038
AN0171-C,ERZ1696039
AN0172-C,ERZ1696040
AN0173-C,ERZ1696041
AN0174-Cx,ERZ1696042
AN0175-C,ERZ1696043
AN0176-C,ERZ1696044
AN0177-C,ERZ1696045
AN0178-C,ERZ1696046
AN0179-C,ERZ1696047
AN0180-C,ERZ1696048
AN0181-C,ERZ1696049
AN0182-C,ERZ1696050
AN0183-C,ERZ1696051
AN0184-C,ERZ1696052
AN0185-C,ERZ1696053
AN0186-Cx,ERZ1696054
AN0187-C,ERZ1696055
AN0188-C,ERZ1696056
AN0189-C,ERZ1696057
AN0190-C,ERZ1696058
AN0191-C,ERZ1696059
AN0192-C,ERZ1696060
AN0193-Cx,ERZ1696061
AN0194-C,ERZ1696062
AN0195-Cx,ERZ1696063
